Image_name,RegionNo.,Stat,Aperture(um),Area(um^2),Long_axis_length(um),Aperture/Long_axis_length(arbitrary),Centroid(X)(px),Centroid(Y)(px),Eccentricity(arbitrary),Solidity(arbitrary)
20170419_1_05,8,open,6.324487391564867,134.307484568,78.26610193544512,0.23272557642809893,79.7298025135,91.1391382406,0.9725424443571649,0.958691910499
20170419_1_06,1,open,9.520772613460506,198.567708333,81.05266359080835,0.3382964101611062,99.2009714633,112.608986035,0.9410396053685034,0.950923787529
20170419_1_06,2,open,7.675906411998273,145.399305556,82.43070581902406,0.26818417053336785,98.6575456053,95.4212271973,0.9633676612152442,0.881578947368
20170419_1_06,3,open,7.191368012048217,142.264660494,74.0520613794239,0.27968350224013694,101.25,89.0627118644,0.9600922552414906,0.953920776071
20170419_1_06,4,popen,6.1752108812363335,146.243248457,88.28721883371051,0.20144033952930437,137.610057708,155.677658697,0.9795007859161311,0.939581719597
20170419_1_06,5,open,9.675615648679097,235.821759259,91.37720792141515,0.3049532120981471,107.235173824,103.122188139,0.9523673337693931,0.964021685559
20170419_1_06,6,open,10.311564287521172,205.198688272,89.14842323785146,0.3331220460156363,112.0346651,101.098707403,0.9428837162971669,0.87416538264
20170419_1_06,7,popen,6.265283613362108,146.966628086,86.56846869541768,0.2084363634751228,103.565217391,85.614438064,0.9780359310277238,0.954581049334
20170419_1_06,8,open,6.3901480218420845,142.74691358,82.3164001644627,0.22357180666472268,100.065878378,84.4839527027,0.9746874613252556,0.963384865745
20170419_1_06,9,open,11.39769611040319,202.305169753,82.92779162498229,0.39583068781578923,127.716924911,99.7282479142,0.9183235086739745,0.856559469117
20170419_1_06,10,open,9.665812025365257,199.411651235,92.73648924188218,0.30017891404584024,94.5223700121,95.9238210399,0.9538829171141813,0.86915396742
20170419_2_01,1,popen,2.9782237263626707,49.3103780864,61.66774442391843,0.13908866640171308,89.0733496333,103.383863081,0.9902799315741954,0.931662870159
20170419_2_01,2,popen,2.7379186460381195,45.5729166667,62.67658190541654,0.12580784498569378,101.431216931,106.85978836,0.9920546286067394,0.866972477064
20170419_2_01,3,popen,3.090870892888787,53.2889660494,63.751691685823836,0.13963093270353386,113.803167421,85.9298642534,0.9902036167538176,0.930526315789
20170419_2_01,5,popen,3.2886620057164815,61.2461419753,69.02915338818346,0.13720792030001616,104.25,104.330708661,0.99054226896531,0.939001848429
20170419_2_01,6,popen,2.742626099060233,44.849537037,62.36176843624493,0.12666034596771752,102.432795699,102.301075269,0.9919461460983344,0.86511627907
20170419_2_01,7,popen,4.008493621564275,82.103587963,75.6760392472806,0.15255108149069735,100.133627019,76.2936857562,0.9882955871276663,0.94452149792
20170419_2_01,8,popen,3.7011927556570297,75.2314814815,75.52308387288289,0.1411414178244328,93.5592948718,87.6185897436,0.989989444476308,0.945454545455
20170419_2_01,9,popen,4.790084987765255,103.322723765,80.03402521095116,0.17236974809654187,104.768961494,114.677946324,0.9850323192368536,0.93152173913
20170419_2_01,10,closed,0,0
20170419_2_01,11,popen,4.901516405825887,102.719907407,77.49073866151576,0.18216844351477537,98.3732394366,99.1737089202,0.983267338106684,0.954087346025
20170419_2_02,1,closed,0,0
20170419_2_02,2,popen,5.17758633461451,103.202160494,73.23932621621186,0.20359893262356463,108.751168224,84.4824766355,0.9790543777720139,0.961797752809
20170419_2_02,3,open,5.070500872470842,112.003279321,82.63250916233996,0.17672272887208187,90.9494079656,77.7093649085,0.9842606753802595,0.952820512821
20170419_2_02,4,popen,3.228762474287042,54.2534722222,61.9893750836531,0.1500069312426224,91.7955555556,82.4733333333,0.9886849450553857,0.941422594142
20170419_2_02,5,popen,3.916548311205073,74.6286651235,73.36515539532793,0.15374681721166128,93.4571890145,83.534733441,0.9881102753221849,0.906295754026
20170419_2_02,6,popen,3.8011983720664784,89.8196373457,90.05187851376093,0.12156827255834053,97.0429530201,86.8577181208,0.9925830721441813,0.884798099762
20170419_2_02,7,open,4.261849188763367,88.2523148148,76.74262812560406,0.15993882361638087,93.5300546448,96.8210382514,0.9871269283634239,0.955613577023
20170419_2_02,8,popen,3.754042950150523,71.7351466049,71.28764976376114,0.15166222665864307,99.4050420168,94.9798319328,0.9884323795813967,0.950479233227
20170419_2_02,9,popen,3.1433054283219226,58.4731867284,70.56812333087413,0.1282834119184589,94.4164948454,92.2824742268,0.9917375490655574,0.918560606061
20170419_2_02,11,popen,3.3186906581594853,63.6574074074,70.96594015071778,0.13468192030149048,100.575757576,85.5416666667,0.9908888839541511,0.934513274336
20170419_2_03,1,open,11.46758670543836,194.58912037,75.75209156963732,0.4359833375861545,84.0836431227,89.9058240397,0.8999547373880741,0.880523731588
20170419_2_03,2,open,10.233757431875354,262.586805556,95.19741400610992,0.3096010717466483,105.404499541,84.4963269054,0.9508665397274881,0.969723953695
20170419_2_03,3,open,14.097587492017508,264.756944444,82.01468359201284,0.49504613318979424,88.6826047359,80.852003643,0.8688666905882816,0.873161033797
20170419_2_03,4,open,10.785951423075058,242.934992284,84.41302750600758,0.36799462140183764,111.68337469,131.720595533,0.9298279188211753,0.961354961832
